const,SIZE,ROE,ROA,ROS,LEV,FOR,GOV,CHAIR,Duality,CEO1,BSIZE
1.0,28.6722337851984,0.08065889543168123,0.021128363023678324,0.0646311937711503,0.19599525114374283,24.0,51.0,0.0,0.0,0.0,7.0
1.0,28.415739677505215,0.032021552272309996,0.008731505315052178,0.023677171221566855,0.186964203137413,0.0,0.0,0.0,1.0,0.0,7.0
1.0,28.482090426875473,1.4136940576848236,1.3345610613271872,0.8331329463567911,37.37676469464024,2.0,0.0,0.0,1.0,0.0,6.0
1.0,25.642063581339535,1.2223978166426372,0.666039919280182,0.6408610336413909,0.11608688457014156,1.0,0.0,0.0,0.0,0.0,5.0
1.0,25.63678799355316,0.006744929542544467,0.005000714981902769,0.005988899864904255,0.0024409040982369796,1.0,0.0,0.0,0.0,0.0,5.0
1.0,30.250509648050166,0.7044850457582622,0.4707603857262699,1.672530459686423,2.057503709431931,48.0,0.0,0.0,1.0,0.0,5.0
1.0,30.62076046774613,0.8280666941778687,0.504706656748527,1.8258218143802998,2.850403771747216,46.0,0.0,0.0,1.0,0.0,5.0
1.0,26.687094506806964,0.031256290416098224,0.018181078001844483,0.02855705342434604,0.011756809074433518,38.0,0.0,0.0,0.0,0.0,4.0
1.0,26.793294306556216,0.027057213757335344,0.014568093326743508,0.011620711768747712,0.008810314341694173,39.0,0.0,0.0,0.0,0.0,4.0
1.0,26.82383812010413,0.32037002492704186,0.2992403717973078,0.48549489745238034,1.3439395489556993,23.0,40.0,0.0,0.0,0.0,5.0
1.0,26.87191360393765,0.416404767716174,0.3332633112079225,0.5042534297014517,1.3596144521665026,24.0,40.0,0.0,0.0,0.0,5.0
1.0,27.68594481242445,0.0014490372807944392,0.0006543017559564999,0.0019337123205721027,0.019211360143349333,23.0,0.0,0.0,1.0,0.0,7.0
